cdrtype,calltype,duration,calling,called,connected,calltime,termdirection,clearcause,queue_time,agent_name,call_duration,cdr_var_1,cdr_var_2,cdr_var_3,cdr_var_4,cdr_var_5,service_logic_info,routing_detail_info,skillgroupname,Column1
0,1,48,03003309XXX,3003309057,Survey goodbye,20190730 11:45:52,system,normal call clearing,0,,0,,,1,1,,,6.02817E+22,,
0,1,43,03003309XXX,3003309057,Survey goodbye,20190730 14:54:32,system,normal call clearing,0,,0,,,1,3,,,6.12621E+22,,
0,1,37,03003309XXX,3003309057,Survey goodbye,20190730 15:18:48,system,normal call clearing,0,,0,,,1,1,,,6.02589E+22,,
0,1,41,03003309XXX,3003309057,Survey goodbye,20190730 15:56:30,system,normal call clearing,0,,0,,,1,2,,,6.13837E+22,,
0,1,41,03003309XXX,3003309057,Survey goodbye,20190731 10:42:31,system,normal call clearing,0,,0,,,1,1,,,6.03227E+22,,
0,1,43,03003309XXX,3003309057,Survey goodbye,20190731 11:51:30,system,normal call clearing,0,,0,,,2,1,,,6.02179E+22,,
